,date,analysed_days,is_holiday,line_id,route_id,segment,hour,h_travel_t,h_sch_t,h_traffic_t,h_boarding_t,s_t_in_motion,s_total_t,adj_sch_t,h_avg_speed,s_speed
45872,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,9,53,60,9,14,33,60,60,35,39
45873,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,9,53,60,6,13,28,45,60,35,39
45874,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,9,61,60,5,20,39,60,60,39,43
45875,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,9,100,120,6,12,59,75,60,34,40
45876,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,9,92,60,5,10,66,75,60,33,37
45877,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,9,98,120,18,13,59,90,120,34,40
45878,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,9,98,120,26,32,56,120,120,30,35
45879,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,9,119,120,7,13,57,75,60,29,37
45880,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,9,71,60,5,24,42,75,60,32,40
45881,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,9,204,180,72,0,114,180,180,21,21
45882,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,10,62,60,21,39,31,60,60,17,24
45883,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,10,95,60,16,15,29,60,60,14,18
45884,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,10,57,60,7,14,32,60,60,30,35
45885,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,10,91,120,8,22,61,90,120,25,29
45886,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,10,84,60,6,16,48,75,60,39,45
45887,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,10,73,60,9,16,45,75,60,30,33
45888,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,10,55,60,6,14,33,60,60,33,39
